jenis_ikan_nama_latin,jenis_ikan,nama_latin,kode_fao,kelompok_sdi
Layur Kepala Besar - Trichiurus Lepturus,Layur Kepala Besar,Trichiurus Lepturus,LHT,Demersal
Layur Kepala Kecil - Eupleurogrammus Muticus,Layur Kepala Kecil,Eupleurogrammus Muticus,EGM,Demersal
Layur Merah - Zu Elongatus,Layur Merah,Zu Elongatus,ZUE,demersal
Lele Biru Salmon - Neoarius Graeffei,Lele Biru Salmon,Neoarius Graeffei,QKC,demersal
Lemadang - Coryphaena Hippurus,Lemadang,Coryphaena Hippurus,DOL,Pelagis Besar
Lemah - Lectarius Lactarius,Lemah,Lectarius Lactarius,,pelagic neritic
Lemuru - Sardinella Lemuru,Lemuru,Sardinella Lemuru,SAM,Pelagis Kecil
Lemuru - Sardinella Longiceps,Lemuru,Sardinella Longiceps,IOS,Pelagis Kecil
Lencam - Gymnocranius Robinsoni,Lencam,Gymnocranius Robinsoni,,demersal
Lencam - Lethrinus Erythracanthus,Lencam,Lethrinus Erythracanthus,LXE,ikan karang
Lencam - Lethrinus Frenatus,Lencam,Lethrinus Frenatus,,Demersal
Lencam - Lethrinus Hypselopterus,Lencam,Lethrinus Hypselopterus,,Demersal
Lencam - Lethrinus Lentjan,Lencam,Lethrinus Lentjan,LTS,Demersal
Lencam - Lethrinus Mahsena,Lencam,Lethrinus Mahsena,LTQ,Demersal
Lencam - Lethrinus Variegatus,Lencam,Lethrinus Variegatus,LHV,ikan karang
Lencam - Lethrinus Xanthochilus,Lencam,Lethrinus Xanthochilus,LXN,Demersal
Lencam - Monotaxis Grandoculis,Lencam,Monotaxis Grandoculis,MXG,ikan karang
Lencam - Platax Pinnatus,Lencam,Platax Pinnatus,IET,Demersal
Lencam Ambon - Lethrinus Amboinensis,Lencam Ambon,Lethrinus Amboinensis,LLB,Demersal
Lencam Bibir Manis - Lethrinus Nebulosus,Lencam Bibir Manis,Lethrinus Nebulosus,LHN,Demersal
Lencam Bintik Biru - Gymnocranius Microdon,Lencam Bintik Biru,Gymnocranius Microdon,,Demersal
Lencam Bulan-Bulan - Lethrinus Rubrioperculatus,Lencam Bulan-Bulan,Lethrinus Rubrioperculatus,LHB,Ikan Karang
Lencam Garis Biru - Gymnocranius Grandoculis,Lencam Garis Biru,Gymnocranius Grandoculis,GMW,Demersal
Lencam Gigi Kecil - Lethrinus Microdon,Lencam Gigi Kecil,Lethrinus Microdon,LEN,Demersal
Lencam Lamun - Lethrinus Laticaudis,Lencam Lamun,Lethrinus Laticaudis,LTI,Demersal
Lencam Matahari - Lethrinus Ornatus,Lencam Matahari,Lethrinus Ornatus,LQO,Demersal
Lencam Moncong - Lethrinus Olivaceus,Lencam Moncong,Lethrinus Olivaceus,LHO,Demersal
Lencam Mosambic - Wattsia Mossambica,Lencam Mosambic,Wattsia Mossambica,WTM,Ikan Karang
Lencam Pasir - Gymnocranius Elongatus,Lencam Pasir,Gymnocranius Elongatus,KKB,Demersal
Lencam Pasir Mata Besar - Gymnocranius Griseus,Lencam Pasir Mata Besar,Gymnocranius Griseus,GMR,Demersal
Lencam Sirip Panjang - Lethrinus Erythropterus,Lencam Sirip Panjang,Lethrinus Erythropterus,LTY,Demersal
Lencam Terompet - Lethrinus Miniatus,Lencam Terompet,Lethrinus Miniatus,LHI,Pelagis Kecil
Lencang Kuning - Heniochus Diphreutes,Lencang Kuning,Heniochus Diphreutes,,Ikan Karang
Lencang Kuning - Heniochus Singularius,Lencang Kuning,Heniochus Singularius,KVS,Ikan Karang
Lepo Merah - Uranoscopus Cognatus,Lepo Merah,Uranoscopus Cognatus,,demersal
Lepo Merah - Uranoscopus Kaianus,Lepo Merah,Uranoscopus Kaianus,,demersal
Lepu Angin - Scorpaena Onaria,Lepu Angin,Scorpaena Onaria,,demersal
Lepu Barong - Sebastiscus Tertius,Lepu Barong,Sebastiscus Tertius,BZT,demersal
Lepu Batu - Scorpaena Izensis,Lepu Batu,Scorpaena Izensis,,demersal
Lepu Karang - Minous Coccineus,Lepu Karang,Minous Coccineus,MNO,demersal
Lepu Karang - Scorpaenopsis Diabolus,Lepu Karang,Scorpaenopsis Diabolus,,demersal
Lepu Lacy - Rhinopias Aphanes,Lepu Lacy,Rhinopias Aphanes,RIH,ikan karang
Lepu Orange-Banded - Neosebastes Entaxis,Lepu Orange-Banded,Neosebastes Entaxis,NNX,demersal
Lepu Papua - Scorpaenopsis Papuensis,Lepu Papua,Scorpaenopsis Papuensis,,ikan karang
Lepu Poss'S - Scorpaenopsis Possi,Lepu Poss'S,Scorpaenopsis Possi,,demersal
Lepu Ruddy - Pontinus Rhodochrous,Lepu Ruddy,Pontinus Rhodochrous,,demersal
Lepu Yellowspotted - Sebastapistes Cyanostigma,Lepu Yellowspotted,Sebastapistes Cyanostigma,,ikan karang
Lidah - Paralichthys Albigutta,Lidah,Paralichthys Albigutta,YSB,demersal
Lidah - Paraplagusia Blochii,Lidah,Paraplagusia Blochii,GSJ,Demersal
Lidah - Symphurus Microrhynchus,Lidah,Symphurus Microrhynchus,,demersal
Lidah - Synaptura Commersonnii,Lidah,Synaptura Commersonnii,,demersal
Lidah Hitam - Solea Solea,Lidah Hitam,Solea Solea,SOL,demersal
Lidah Jaring - Achirus Scutum,Lidah Jaring,Achirus Scutum,UTV,demersal
Lidah Ovate - Solea Ovata,Lidah Ovate,Solea Ovata,OAO,Demersal
Lidah Velvety - Brachirus Villosus,Lidah Velvety,Brachirus Villosus,,demersal
Lidah Zebra - Zebrias Altipinnis,Lidah Zebra,Zebrias Altipinnis,,demersal
Lobster - Homarus Americanus,Lobster,Homarus Americanus,LBA,binatang berkulit keras
Lobster - Homarus Gammarus,Lobster,Homarus Gammarus,LBE,binatang berkulit keras
Lobster - Ibacus Peronii,Lobster,Ibacus Peronii,IBE,binatang berkulit keras
Lobster - Jasus Edwardsii,Lobster,Jasus Edwardsii,LOR,binatang berkulit keras
Lobster - Puerulus Sewelli,Lobster,Puerulus Sewelli,URW,binatang berkulit keras
Lobster - Scylaroies Squamosus,Lobster,Scylaroies Squamosus,,Binatang Berkulit Keras
Lobster Bambu - Panulirus Versicolor,Lobster Bambu,Panulirus Versicolor,NUV,Binatang Berkulit Keras
Lobster Batik - Panulirus Femoristriga,Lobster Batik,Panulirus Femoristriga,ULB,binatang berkulit keras
Lobster Batik - Panulirus Longipes,Lobster Batik,Panulirus Longipes,LOJ,Binatang Berkulit Keras
