jenis_ikan_nama_latin,jenis_ikan,nama_latin,kode_fao,kelompok_sdi
Teripang Hitam - Holothuria Edulis,Teripang Hitam,Holothuria Edulis,HFE,Binatang Air Lainnya
Teripang Hitam - Holothuria Forskali,Teripang Hitam,Holothuria Forskali,,binatang air lainnya
Teripang Hitam - Holothuria Leucospilota,Teripang Hitam,Holothuria Leucospilota,HFQ,Binatang Air Lainnya
Teripang Kacang Goreng - Stichopus Horrens,Teripang Kacang Goreng,Stichopus Horrens,KUN,Binatang Air Lainnya
Teripang Kasur - Actinopyga Lecanora,Teripang Kasur,Actinopyga Lecanora,YVV,Binatang Air Lainnya
Teripang Kasur - Mulleria Lecanora,Teripang Kasur,Mulleria Lecanora,,Binatang Air Lainnya
Teripang Kepala Batu - Holothuria Pervicax,Teripang Kepala Batu,Holothuria Pervicax,JDD,Demersal
Teripang Koro - Holothuria Nobilis,Teripang Koro,Holothuria Nobilis,HFN,Demersal
Teripang Leher Botol - Holothuria Impatiens,Teripang Leher Botol,Holothuria Impatiens,HFI,Demersal
Teripang Lotong - Actinopyga Miliaris,Teripang Lotong,Actinopyga Miliaris,KUQ,binatang lunak
Teripang Nanas - Thelenota Ananas,Teripang Nanas,Thelenota Ananas,TFQ,Binatang Air Lainnya
Teripang Nanas Hitam - Stichopus Chloronotus,Teripang Nanas Hitam,Stichopus Chloronotus,JCC,Demersal
Teripang Naso - Stichopus Naso,Teripang Naso,Stichopus Naso,JPR,Demersal
Teripang Olok-Olok - Bohadschia Vitiensis,Teripang Olok-Olok,Bohadschia Vitiensis,BDV,binatang air lainnya
Teripang Pasir - Holothuria Scabra,Teripang Pasir,Holothuria Scabra,HFC,Demersal
Teripang Patola - Bohadschia Argus,Teripang Patola,Bohadschia Argus,KUW,Binatang Air Lainnya
Teripang Putih - Actinopyga Albonigra,Teripang Putih,Actinopyga Albonigra,,Binatang Air Lainnya
Teripang Sabuk Raja - Opheodesoma Australiensis,Teripang Sabuk Raja,Opheodesoma Australiensis,,Demersal
Teripang Sabuk Raja - Synapta Maculata,Teripang Sabuk Raja,Synapta Maculata,,binatang air lainnya
Teripang Susu Putih - Holothuria Fuscogilva,Teripang Susu Putih,Holothuria Fuscogilva,HFF,Binatang Air Lainnya
Teripang Ular - Euapta Godeffroyi,Teripang Ular,Euapta Godeffroyi,,Demersal
Teripang Usus Raja Hitam - Polyplectana Kefersteini,Teripang Usus Raja Hitam,Polyplectana Kefersteini,,binatang air lainnya
Terman - Atropus Mentalis,Terman,Atropus Mentalis,ULE,Demersal
Terman - Ulua Mentalis,Terman,Ulua Mentalis,ULE,Demersal
Terompe Triton - Charonia Tritonis,Terompe Triton,Charonia Tritonis,KRN,binatang lunak
Terubuk - Hilsa Toli,Terubuk,Hilsa Toli,,Pelagis Kecil
Terubuk Ekor Panjang - Tenualosa Macrura,Terubuk Ekor Panjang,Tenualosa Macrura,TWN,Pelagis Kecil
Terubuk Hilsa - Tenualosa Ilisha,Terubuk Hilsa,Tenualosa Ilisha,HIL,Pelagis Kecil
Terubuk Padi - Tenualosa Toli,Terubuk Padi,Tenualosa Toli,TOL,Pelagis Kecil
Tetengkek - Megalaspis Cordyla,Tetengkek,Megalaspis Cordyla,HAS,Pelagis Kecil
Threespot Squirrelfish - Sargocentron Cornutum,Threespot Squirrelfish,Sargocentron Cornutum,,ikan karang
Tigawaja Keken - Johnius Amblycephalus,Tigawaja Keken,Johnius Amblycephalus,JOA,Demersal
Tigawaja Koitor - Johnius Coitor,Tigawaja Koitor,Johnius Coitor,JOC,Demersal
Tigawaja Perak - Johnius Dussumieri,Tigawaja Perak,Johnius Dussumieri,JOU,Demersal
Tigawaja Putih - Johnius Borneensis,Tigawaja Putih,Johnius Borneensis,JCS,Demersal
Tiram - Crassostrea Gigas,Tiram,Crassostrea Gigas,OYG,Binatang Lunak
Tiram - Magallana Gigas,Tiram,Magallana Gigas,OYG,Binatang Lunak
Tiram - Placuna Placenta,Tiram,Placuna Placenta,UNA,binatang lunak
Tiram - Saccostrea Cuccullata,Tiram,Saccostrea Cuccullata,CSC,binatang lunak
Tiram Atlantic Pearl - Pinctada Imbricata Radiata,Tiram Atlantic Pearl,Pinctada Imbricata Radiata,,binatang lunak
Tiram Atlantik Wing - Pteria Colymbus,Tiram Atlantik Wing,Pteria Colymbus,,binatang lunak
Tiram Batu - Spondylus Sinensis,Tiram Batu,Spondylus Sinensis,,binatang lunak
Tiram Batu; Tiram Tembakau - Spondylus Lamarckii,Tiram Batu; Tiram Tembakau,Spondylus Lamarckii,ZQZ,Binatang Lunak
Tiram Penguin Wing - Pteria Penguin,Tiram Penguin Wing,Pteria Penguin,PTE,binatang lunak
Tiram Timur - Crassostrea Virginica,Tiram Timur,Crassostrea Virginica,OYA,binatang lunak
Toka-Toka - Himantura Cf Walga,Toka-Toka,Himantura Cf Walga,,demersal
Toka-Toka - Himantura Walga,Toka-Toka,Himantura Walga,,demersal
Tonang Bagio - Muraenesox Bagio,Tonang Bagio,Muraenesox Bagio,DDP,Demersal
Tonang Malong - Muraenesox Cinereus,Tonang Malong,Muraenesox Cinereus,DPC,Demersal
Tongkol Abu-Abu - Thunnus Tonggol,Tongkol Abu-Abu,Thunnus Tonggol,LOT,Pelagis Besar
Tongkol Komo - Euthynnus Affinis,Tongkol Komo,Euthynnus Affinis,KAW,Pelagis Besar
Tongkol Krai - Auxis Thazard,Tongkol Krai,Auxis Thazard,FRI,Pelagis Besar
Tongkol Lisong - Auxis Rochei,Tongkol Lisong,Auxis Rochei,BLT,Pelagis Besar
Tongkol Sirara-Gigi Anjing - Gymnosarda Unicolor,Tongkol Sirara-Gigi Anjing,Gymnosarda Unicolor,DOT,Pelagis Besar
Totok; Sulir - Branchiostegus Sawakinensis,Totok; Sulir,Branchiostegus Sawakinensis,FHV,Pelagis Besar
Trunk-Barred Pipefish - Phoxocampus Tetrophthalmus,Trunk-Barred Pipefish,Phoxocampus Tetrophthalmus,,ikan karang
Tuna Mata Besar - Thunnus Obesus,Tuna Mata Besar,Thunnus Obesus,BET,Pelagis Besar
Tuna Sirip Biru Selatan - Thunnus Maccoyii,Tuna Sirip Biru Selatan,Thunnus Maccoyii,SBF,Pelagis Besar
Tuna Sirip Kuning - Thunnus Albacares,Tuna Sirip Kuning,Thunnus Albacares,YFT,Pelagis Besar
Ubur-Ubur Bulan - Aurelia Aurita,Ubur-Ubur Bulan,Aurelia Aurita,AJQ,Binatang Air Lainnya
Ubur-Ubur Cassiopea Medusae - Cassiopea Medusa,Ubur-Ubur Cassiopea Medusae,Cassiopea Medusa,ZSE,binatang lunak
Ubur-Ubur Tutul - Mastigias Papua,Ubur-Ubur Tutul,Mastigias Papua,,binatang lunak
Udang Aloha - Penaeus Marginatus,Udang Aloha,Penaeus Marginatus,PNJ,Binatang Berkulit Keras
Udang Amaebi - Pandalus Borealis,Udang Amaebi,Pandalus Borealis,PRA,binatang berkulit keras
Udang Argentine Red - Pleoticus Muelleri,Udang Argentine Red,Pleoticus Muelleri,LAA,binatang berkulit keras
Udang Banana - Penaeus Spp,Udang Banana,Penaeus Spp,PEN,Binatang Berkulit Keras
Udang Bintik Merah - Metapenaeopsis Barbata,Udang Bintik Merah,Metapenaeopsis Barbata,MJB,Binatang Berkulit Keras
Udang Biru - Penaeus Stylirostris,Udang Biru,Penaeus Stylirostris,PNS,binatang berkulit keras
Udang Botan - Pandalus Nipponensis,Udang Botan,Pandalus Nipponensis,DLN,binatang berkulit keras
Udang Dogol Batu - Metapenaeus Ensis,Udang Dogol Batu,Metapenaeus Ensis,MPE,Binatang Berkulit Keras
Udang Dogol Belang - Metapenaeus Eboracensis,Udang Dogol Belang,Metapenaeus Eboracensis,MQE,Binatang Berkulit Keras
Udang Dogol Bintik - Metapenaeus Monoceros,Udang Dogol Bintik,Metapenaeus Monoceros,MPN,Binatang Berkulit Keras
Udang Dogol Biru - Metapenaeus Endeavouri,Udang Dogol Biru,Metapenaeus Endeavouri,ENS,Binatang Berkulit Keras
Udang Dogol Burung - Metapenaeus Lysianassa,Udang Dogol Burung,Metapenaeus Lysianassa,MJY,Binatang Berkulit Keras
Udang Dogol Cendana - Metapenaeus Brevicornis,Udang Dogol Cendana,Metapenaeus Brevicornis,MPB,Binatang Berkulit Keras
Udang Dogol Dali - Metapenaeus Dalli,Udang Dogol Dali,Metapenaeus Dalli,MTD,Binatang Berkulit Keras
Udang Dogol Jingga - Metapenaeus Affinis,Udang Dogol Jingga,Metapenaeus Affinis,MTJ,Binatang Berkulit Keras
Udang Dogol Kapur - Metapenaeus Dobsoni,Udang Dogol Kapur,Metapenaeus Dobsoni,MPD,Binatang Berkulit Keras
Udang Galah - Macrobrachium Rosenbergii,Udang Galah,Macrobrachium Rosenbergii,PRF,Binatang Berkulit Keras
Udang Grogo - Acetes Indicus,Udang Grogo,Acetes Indicus,EKN,Binatang Berkulit Keras
Udang India - Fenneropenaeus Indicus,Udang India,Fenneropenaeus Indicus,,Binatang Berkulit Keras
Udang Jambret - Mesopodopsis Orientalis,Udang Jambret,Mesopodopsis Orientalis,ZHM,Binatang Berkulit Keras
Udang Jambret - Mysis,Udang Jambret,Mysis,,Binatang Berkulit Keras
Udang Jerbung - Penaeus Merguensis,Udang Jerbung,Penaeus Merguensis,PBA,Binatang Berkulit Keras
Udang Jerbung - Penaeus Merguiensis,Udang Jerbung,Penaeus Merguiensis,PBA,Binatang Berkulit Keras
Udang Karang Mexican Dwarf - Cambarellus Patzcuarensis,Udang Karang Mexican Dwarf,Cambarellus Patzcuarensis,,Binatang Berkulit Keras
Udang Katak - Thalassina Anomala,Udang Katak,Thalassina Anomala,TAQ,binatang berkulit keras
Udang Kipas Merah Hani - Scyllarides Haanii,Udang Kipas Merah Hani,Scyllarides Haanii,YLJ,Binatang Berkulit Keras
Udang Kipas Merah Tumpul - Scyllarides Squammosus,Udang Kipas Merah Tumpul,Scyllarides Squammosus,YLU,Binatang Berkulit Keras
Udang Kipas Pasir - Thenus Orientalis,Udang Kipas Pasir,Thenus Orientalis,THQ,Binatang Berkulit Keras
Udang Krill - Euphausia Superba,Udang Krill,Euphausia Superba,KRI,binatang berkulit keras
Udang Krosok - Batepenaeopsis Tenella,Udang Krosok,Batepenaeopsis Tenella,NIT,binatang berkulit keras
Udang Krosok - Kishinouyepenaeopsis Cornuta,Udang Krosok,Kishinouyepenaeopsis Cornuta,NPN,binatang berkulit keras
Udang Krosok - Metapenaeus Spp,Udang Krosok,Metapenaeus Spp,MET,Binatang Berkulit Keras
Udang Krosok - Mierspenaeopsis Sculptilis,Udang Krosok,Mierspenaeopsis Sculptilis,NAP,binatang berkulit keras
Udang Krosok - Trachypenaeus Fulvus,Udang Krosok,Trachypenaeus Fulvus,,Binatang Berkulit Keras
Udang Krosok - Trachysalambria Malaiana,Udang Krosok,Trachysalambria Malaiana,ZIC,Binatang Berkulit Keras
Udang Krosok Apolo - Metapenaeopsis Palmensis,Udang Krosok Apolo,Metapenaeopsis Palmensis,NMN,Binatang Berkulit Keras
Udang Krosok Arafura - Parapenaeopsis Arafurica,Udang Krosok Arafura,Parapenaeopsis Arafurica,NRJ,Binatang Berkulit Keras
Udang Krosok Belang - Parapenaeopsis Cornuta,Udang Krosok Belang,Parapenaeopsis Cornuta,NPN,Binatang Berkulit Keras
Udang Krosok Bludru - Metapenaeopsis Novaeguineae,Udang Krosok Bludru,Metapenaeopsis Novaeguineae,NMU,Binatang Berkulit Keras
Udang Krosok Kuning - Megokris Granulosus,Udang Krosok Kuning,Megokris Granulosus,TPQ,Binatang Berkulit Keras
Udang Krosok Kuning - Trachypenaeus Granulosus,Udang Krosok Kuning,Trachypenaeus Granulosus,,Binatang Berkulit Keras
Udang Krosok Kuning - Trachysalambria Curvirostris,Udang Krosok Kuning,Trachysalambria Curvirostris,TRV,Binatang Berkulit Keras
Udang Krosok Lemah - Parapenaeopsis Tenella,Udang Krosok Lemah,Parapenaeopsis Tenella,NIT,Binatang Berkulit Keras
Udang Krosok Macan - Parapenaeopsis Sculptilis,Udang Krosok Macan,Parapenaeopsis Sculptilis,NAP,Binatang Berkulit Keras
Udang Krosok Merah - Metapenaeopsis Rosea,Udang Krosok Merah,Metapenaeopsis Rosea,NMQ,Binatang Berkulit Keras
Udang Krosok Mogi - Metapenaeopsis Mogiensis,Udang Krosok Mogi,Metapenaeopsis Mogiensis,NMJ,Binatang Berkulit Keras
Udang Krosok Wiski - Parapenaeopsis Hardwickii,Udang Krosok Wiski,Parapenaeopsis Hardwickii,NAW,Binatang Berkulit Keras
Udang Kuruma - Penaeus Japonicus,Udang Kuruma,Penaeus Japonicus,KUP,Binatang Berkulit Keras
Udang Lipan - Miyakella Nepa,Udang Lipan,Miyakella Nepa,MJN,binatang berkulit keras
Udang Lurik - Penaeus Canaliculatus,Udang Lurik,Penaeus Canaliculatus,EKU,Binatang Berkulit Keras
Udang Mantis - Lysiosquillina Maculata,Udang Mantis,Lysiosquillina Maculata,,binatang berkulit keras
Udang Mantis Jepang - Oratosquilla Oratoria,Udang Mantis Jepang,Oratosquilla Oratoria,OQO,binatang berkulit keras
Udang Merah Jambu Alaska - Pandalus Eous,Udang Merah Jambu Alaska,Pandalus Eous,,binatang berkulit keras
Udang Nilon - Heterocarpus Ensifer,Udang Nilon,Heterocarpus Ensifer,HKF,binatang berkulit keras
Udang Orange - Atypopenaeus Formosus,Udang Orange,Atypopenaeus Formosus,YEO,Binatang Berkulit Keras
Udang Pama - Penaeus Semisulcatus,Udang Pama,Penaeus Semisulcatus,TIP,Binatang Berkulit Keras
Udang Putih - Penaeus Indicus,Udang Putih,Penaeus Indicus,PNI,Binatang Berkulit Keras
Udang Raja - Penaeus Latisulcatus,Udang Raja,Penaeus Latisulcatus,WKP,Binatang Berkulit Keras
Udang Raja Bercak Merah - Penaeus Longistylus,Udang Raja Bercak Merah,Penaeus Longistylus,ELY,Binatang Berkulit Keras
Udang Rebon - Acetes Sp,Udang Rebon,Acetes Sp,,Binatang Berkulit Keras
Udang Ronggeng - Harpiosquilla Raphidea,Udang Ronggeng,Harpiosquilla Raphidea,HQR,Binatang Berkulit Keras
Udang Ronggeng - Odontodactylus Scyllarus,Udang Ronggeng,Odontodactylus Scyllarus,ODY,binatang berkulit keras
Udang Sculpture - Parribacus Antarchicus,Udang Sculpture,Parribacus Antarchicus,,Binatang Berkulit Keras
Udang Tajam - Arafurapenaeopsis Arafurica,Udang Tajam,Arafurapenaeopsis Arafurica,NRJ,binatang berkulit keras
Udang Vanamei - Penaeus Vannamei,Udang Vanamei,Penaeus Vannamei,PNV,Binatang Berkulit Keras
Udang Wangkang - Penaeus Chinensis,Udang Wangkang,Penaeus Chinensis,FLP,Binatang Berkulit Keras
Udang Wangkang - Penaeus Orientalis,Udang Wangkang,Penaeus Orientalis,,Binatang Berkulit Keras
Udang Windu - Panaeous Monodon,Udang Windu,Panaeous Monodon,,Binatang Berkulit Keras
Udang Windu - Penaeus Monodon,Udang Windu,Penaeus Monodon,GIT,Binatang Berkulit Keras
Udang Windu Coklat - Penaeus Esculentus,Udang Windu Coklat,Penaeus Esculentus,PRB,Binatang Berkulit Keras
